,LPLACE,,LPL,ACE,LPLACE
,LPLAGP,,LPL,AGP,LPLAGP
,LPLALC,,LPL,ALC,LPLALC
,LPLAMS,,LPL,AMS,LPLAMS
,LPLBCN,,LPL,BCN,LPLBCN
,LPLBFS,,LPL,BFS,LPLBFS
,LPLBJV,,LPL,BJV,LPLBJV
,LPLBRU,,LPL,BRU,LPLBRU
,LPLCDG,,LPL,CDG,LPLCDG
,LPLFAO,,LPL,FAO,LPLFAO
,LPLFUE,,LPL,FUE,LPLFUE
,LPLGIB,,LPL,GIB,LPLGIB
,LPLGVA,,LPL,GVA,LPLGVA
,LPLIOM,,LPL,IOM,LPLIOM
,LPLJER,,LPL,JER,LPLJER
,LPLKRK,,LPL,KRK,LPLKRK
,LPLLIS,,LPL,LIS,LPLLIS
,LPLMAD,,LPL,MAD,LPLMAD
,LPLMLA,,LPL,MLA,LPLMLA
,LPLNAP,,LPL,NAP,LPLNAP
,LPLNCE,,LPL,NCE,LPLNCE
,LPLPMI,,LPL,PMI,LPLPMI
,LPLRHO,,LPL,RHO,LPLRHO
,LPLSXF,,LPL,SXF,LPLSXF
,LPLTLL,,LPL,TLL,LPLTLL
